REG_ANS;ano;trimestre;VL_SALDO_FINAL
321320;2023;4;204277350.24
321320;2025;1;67152732.4
321320;2025;2;123754537.7
321320;2025;3;180243019.37
321338;2023;4;368606708.65
321338;2025;1;80738353.02
321338;2025;2;82095208.12
321338;2025;3;84641208.12
321869;2023;4;-80333259.6
321931;2023;4;246350968.96
321931;2025;1;85474310.79
321931;2025;2;179910284.23
321931;2025;3;284036229.6
321958;2023;4;2358284185.75
321958;2025;1;634938690.14
321958;2025;2;1264962866.73
321958;2025;3;1906164007.53
322326;2023;4;85380548.81
322326;2025;1;30405965.19
322326;2025;2;50627399.17
322326;2025;3;73277395.8
322571;2023;4;903118023.42
322571;2025;1;315558845.66
322571;2025;2;561282289.68
322571;2025;3;814431567.09
322831;2023;4;560187547.22
322831;2025;1;182149503.41
322831;2025;2;360399790.08
322831;2025;3;562166224.83
322890;2023;4;49433249.09
322890;2025;1;17058509.08
322890;2025;2;30875511.61
322890;2025;3;45091659.62
323004;2023;4;140024201.83
323004;2025;1;40714257.59
323004;2025;2;79234450.5
323004;2025;3;128423266.36
323055;2023;4;382949405.97
323055;2025;1;142541688.51
323055;2025;2;250979043.77
323055;2025;3;374343284.71
323080;2023;4;28815098637.71
323080;2025;1;12700401837.43
323080;2025;2;22378580460.16
323080;2025;3;33281995688.65
323268;2023;4;2415518387.94
323268;2025;1;815399428.77
323268;2025;2;1530207989.03
323268;2025;3;2283144767.08
323357;2023;4;518183525.72
323357;2025;1;196375482.69
323357;2025;2;345510876.09
323357;2025;3;518117761.3
323926;2023;4;587285608.43
323926;2025;1;226862452.78
323926;2025;2;403952256.74
323926;2025;3;585064049.21
323942;2023;4;315805430.21
323942;2025;1;87190874.38
323942;2025;2;166932999.96
323942;2025;3;245793166.87
323993;2023;4;2350900480.3
323993;2025;1;435883991.44
323993;2025;2;864776365.0
323993;2025;3;1333020906.74
324159;2023;4;426181081.34
324159;2025;1;152845273.02
324159;2025;2;293781856.77
324159;2025;3;445339103.34
324175;2023;4;220738188.58
324175;2025;1;66813518.32
324175;2025;2;129180292.29
324175;2025;3;204712004.12
324213;2023;4;123121514.11
324213;2025;1;95224182.37
324213;2025;2;103115075.27
324213;2025;3;111192600.11
324299;2023;4;243518244.72
324299;2025;1;78737065.17
324299;2025;2;136612839.07
324299;2025;3;181665703.07
324345;2023;4;893287247.8
324345;2025;1;325498461.24
324345;2025;2;598425605.72
324345;2025;3;894055134.71
324361;2023;4;1855836491.42
324361;2025;1;599993135.33
324361;2025;2;1099125427.62
324361;2025;3;1597475737.15
324477;2023;4;2718614715.06
324477;2025;1;784784177.91
324477;2025;2;1322993708.54
324477;2025;3;1902306927.99
324493;2023;4;1198990884.55
324493;2025;1;465769402.2
324493;2025;2;841947154.2
324493;2025;3;1240699064.97
324523;2023;4;560315.72
324523;2025;1;130919.54
324523;2025;2;152922.48
324523;2025;3;170172.35
324566;2023;4;644695878.62
324566;2025;1;226952735.08
324566;2025;2;408358202.61
324566;2025;3;583955251.26
324710;2023;4;124256.18
325031;2023;4;537095983.7
325031;2025;1;187090120.19
325031;2025;2;350618562.04
325031;2025;3;502332392.4
325082;2023;4;140648120.5
325082;2025;1;63367504.36
325082;2025;2;79706275.33
325082;2025;3;124588455.26
325236;2023;4;456187229.25
325236;2025;1;209598917.21
325236;2025;2;386824366.3
325236;2025;3;601131831.43
325465;2023;4;227318501.2
325465;2025;1;86325324.45
325465;2025;2;147823198.15
325465;2025;3;220813776.07
325571;2023;4;7313957710.84
325571;2025;1;2127557933.02
325571;2025;2;4120299238.91
325571;2025;3;6269199183.03
326089;2023;4;254077323.59
